Store,Start Date,Users,Sessions,Session Duration (SECONDS),Pageviews,Pages per Session,Avg. TOS,Bounces,Bounce Rate,Total Time Spent (DAYS),Product Hotspot Clicks,Text Hotspot Clicks,Image Hotspot Clicks,Link Hotspot Clicks,Pop-up Hotspot Button Clicks,Pop-up Video,Arrow Nav Clicks,Menu Nav Clicks,Custom Event Clicks,Add to Cart Clicks,Checkout Clicks,Add to Wishlist Clicks,PDP Clicks,Cart Icon Clicks,Add to Cart CTR,Checkout CTR,[NEW] Total Interactions,[New] Total Interactions per User
CkVukQVBil,Start date,Total Users,Sessions,User Engagement Duration,Screen Page Views,Pages per Session,Avg. TOS,Bounces,Bounce Rate,Total Time Spent (DAYS),,,,,,,,,,Add To Carts,Checkouts,,,Cart Icon Clicks,Add to Cart CTR,Checkout CTR,Total Interactions,Total Interactions per User
GSRVGQsgkB,"May 17, 2023",14,15,362,36,2.40,0:00:24,4,33.33%,0.00,,,,,,,,,,0,0,,,2,0.00%,0.00%,74,5.3
dMEELxjpSr,"May 15, 2023",6,10,39,11,1.10,0:00:03,6,60.00%,0.00,,,,,,,,,,0,0,,,0,0.00%,0.00%,6,1.0
NtFowvRacz,"June 5, 2023",13,21,101,18,0.86,0:00:04,16,80.95%,0.00,,,,,,,,,,0,0,,,0,0.00%,0.00%,13,1.0
zosmSzPKTY,"June 9,2023","5,771","6,119","114,564","17,070",2.79,0:00:18,"1,214",19.84%,1.33,,,,,,,,,,25,10,,,"6,406",0.41%,0.16%,"29,484",5.1
krZVrPguis,"June 14,2023",141,191,"13,646",814,4.26,0:01:11,61.00,31.94%,0.16,,,,,,,,,,0,0,,,0,0.00%,0.00%,657,4.7
DDHTJUQXOr,"June 14,2023",85,115,"11,414",552,4.80,0:01:39,27,23.48%,0.13,,,,,,,,,,0,0,,,0,0.00%,0.00%,609,7.2
kpMlkMBmPj,"June 14,2023",106,136,"12,546",491,3.61,0:01:32,49,36.76%,0.15,,,,,,,,,,0,0,,,0,0.00%,0.00%,572,5.4
MJqhwXQWvP,"August 9,2023","93,828","107,467","703,358","137,510",1.28,0:00:06,"75,828",70.56%,8.14,,,,,,,,,,0,0,,,0,0.00%,0.00%,"131,592",1.4
IrcxfjpBdv,"August 16,2023","9,217","9,941","386,456","13,531",1.36,0:00:38,"3,431",34.52%,4.47,,,,,,,,,,152,25,,,872,1.53%,0.25%,"105,006",11.4
fhbMqiXpVo,"August 22,2023","8,661","9,387","236,235","21,336",2.27,0:00:25,"5,904",62.90%,2.73,,,,,,,,,,17,0,,,0,0.18%,0.00%,"15,616",1.8
OhzUfYGLaa,"September 14,2023","62,148","80,690","7,028,823","351,582",4.36,0:01:27,"29,935",37.10%,81.35,,,,,,,,,,0,0,,,0,0.00%,0.00%,"761,850",12.3
TzVcMVwFZR,"September 26,2023",34,69,"3,480",265,3.84,0:00:50,19,27.54%,0.04,,,,,,,,,,0,0,,,0,0.00%,0.00%,562,16.5
LfwIgBlRIt,,"271,723","324,018","15,673,509","774,144",2.39,0:00:48,"167,299",51.63%,181.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,767",269,0.0,0.0,"9,455",,,"1,690,218",6.22
